PWM Percentage ,Voltage ,,PWM  percentage, Encoder Value ,Speed  M/S,,,Without Load 60 percent PWM,,,Without Load 60 PWM,,,Without Load 60 PWM,,,Withload 60 PWM,,,With Load 60 PWM ,,,With Load PWM 60,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM 
,,,,,,,,20:30:04.046 -> 2518,,,20:35:05.847 -> 2382,,,20:37:02.592 -> 2402,,,20:46:18.856 -> 2280,,,20:55:16.147 -> 2158,,,20:56:14.356 -> 2166,,,20:59:08.912 -> 960,,,21:00:15.349 -> 996,,,21:01:08.392 -> 995,,,21:02:48.771 -> 1010,,,21:03:59.041 -> 974
,,,,,,,,20:30:04.046 -> 2528,,,20:35:05.847 -> 2393,,,20:37:02.636 -> 2413,,,20:46:18.856 -> 2290,,,20:55:16.147 -> 2168,,,20:56:14.356 -> 2176,,,20:59:08.912 -> 964,,,21:00:15.349 -> 1000,,,21:01:08.440 -> 1000,,,21:02:48.771 -> 1014,,,21:03:59.041 -> 979
,,,,,,,,20:30:04.046 -> 2539,,,20:35:05.891 -> 2403,,,20:37:02.636 -> 2424,,,20:46:18.900 -> 2300,,,20:55:16.147 -> 2178,,,20:56:14.356 -> 2185,,,20:59:08.912 -> 968,,,21:00:15.349 -> 1005,,,21:01:08.440 -> 1004,,,21:02:48.815 -> 1019,,,21:03:59.041 -> 983
,,,,,,,,20:30:04.046 -> 2550,,,20:35:05.891 -> 2414,,,20:37:02.636 -> 2435,,,20:46:18.900 -> 2311,,,20:55:16.147 -> 2187,,,20:56:14.356 -> 2195,,,20:59:08.912 -> 972,,,21:00:15.394 -> 1009,,,21:01:08.440 -> 1009,,,21:02:48.815 -> 1023,,,21:03:59.041 -> 987
,,,,,,,,20:30:04.090 -> 2560,,,20:35:05.891 -> 2426,,,20:37:02.636 -> 2446,,,20:46:18.900 -> 2321,,,20:55:16.147 -> 2197,,,20:56:14.401 -> 2205,,,20:59:08.912 -> 976,,,21:00:15.394 -> 1013,,,21:01:08.440 -> 1013,,,21:02:48.815 -> 1028,,,21:03:59.085 -> 991
,,,,,,,,20:30:04.090 -> 2571,,,20:35:05.891 -> 2436,,,20:37:02.684 -> 2457,,,20:46:18.900 -> 2331,,,20:55:16.193 -> 2207,,,20:56:14.401 -> 2215,,,20:59:08.960 -> 980,,,21:00:15.394 -> 1018,,,21:01:08.440 -> 1018,,,21:02:48.815 -> 1032,,,21:03:59.085 -> 996
,,,,,,,,20:30:04.090 -> 2582,,,20:35:05.891 -> 2447,,,20:37:02.684 -> 2468,,,20:46:18.948 -> 2342,,,20:55:16.193 -> 2216,,,20:56:14.401 -> 2225,,,20:59:08.960 -> 984,,,21:00:15.394 -> 1022,,,21:01:08.489 -> 1022,,,21:02:48.859 -> 1037,,,21:03:59.085 -> 1000
,,,,,,,,20:30:04.090 -> 2592,,,20:35:05.935 -> 2458,,,20:37:02.684 -> 2479,,,20:46:18.948 -> 2352,,,20:55:16.193 -> 2226,,,20:56:14.401 -> 2234,,,20:59:08.960 -> 988,,,21:00:15.394 -> 1026,,,21:01:08.489 -> 1027,,,21:02:48.859 -> 1041,,,21:03:59.085 -> 1004
,,,,,,,,20:30:04.134 -> 2603,,,20:35:05.935 -> 2469,,,20:37:02.684 -> 2489,,,20:46:18.948 -> 2362,,,20:55:16.193 -> 2236,,,20:56:14.401 -> 2244,,,20:59:08.960 -> 992,,,21:00:15.443 -> 1031,,,21:01:08.489 -> 1031,,,21:02:48.859 -> 1046,,,21:03:59.125 -> 1008
,,,,,,,,20:30:04.134 -> 2613,,,20:35:05.935 -> 2480,,,20:37:02.684 -> 2500,,,20:46:18.948 -> 2372,,,20:55:16.239 -> 2246,,,20:56:14.449 -> 2254,,,20:59:08.960 -> 996,,,21:00:15.443 -> 1035,,,21:01:08.489 -> 1035,,,21:02:48.859 -> 1050,,,21:03:59.125 -> 1013
,,,,,,,,20:30:04.134 -> 2624,,,20:35:05.935 -> 2491,,,20:37:02.732 -> 2511,,,20:46:18.948 -> 2383,,,20:55:16.239 -> 2256,,,20:56:14.449 -> 2264,,,20:59:09.008 -> 1000,,,21:00:15.443 -> 1039,,,21:01:08.489 -> 1040,,,21:02:48.859 -> 1055,,,21:03:59.125 -> 1017
,,,,,,,,20:30:04.134 -> 2635,,,20:35:05.979 -> 2502,,,20:37:02.732 -> 2522,,,20:46:18.992 -> 2393,,,20:55:16.239 -> 2266,,,20:56:14.449 -> 2273,,,20:59:09.008 -> 1004,,,21:00:15.443 -> 1044,,,21:01:08.529 -> 1045,,,21:02:48.907 -> 1059,,,21:03:59.125 -> 1021
,,,,,,,,20:30:04.134 -> 2645,,,20:35:05.979 -> 2512,,,20:37:02.732 -> 2533,,,20:46:18.992 -> 2403,,,20:55:16.239 -> 2276,,,20:56:14.449 -> 2283,,,20:59:09.008 -> 1008,,,21:00:15.443 -> 1048,,,21:01:08.529 -> 1049,,,21:02:48.907 -> 1064,,,21:03:59.125 -> 1025
,,,,,,,,20:30:04.182 -> 2656,,,20:35:05.979 -> 2523,,,20:37:02.732 -> 2544,,,20:46:18.992 -> 2414,,,20:55:16.239 -> 2285,,,20:56:14.493 -> 2293,,,20:59:09.008 -> 1012,,,21:00:15.487 -> 1053,,,21:01:08.529 -> 1054,,,21:02:48.907 -> 1068,,,21:03:59.174 -> 1030
,,,,,,,,20:30:04.182 -> 2667,,,20:35:05.979 -> 2534,,,20:37:02.732 -> 2555,,,20:46:18.992 -> 2424,,,20:55:16.271 -> 2295,,,20:56:14.493 -> 2303,,,20:59:09.052 -> 1017,,,21:00:15.487 -> 1057,,,21:01:08.529 -> 1058,,,21:02:48.907 -> 1073,,,21:03:59.174 -> 1034
,,,,,,,,20:30:04.182 -> 2677,,,20:35:06.023 -> 2544,,,20:37:02.781 -> 2566,,,20:46:18.992 -> 2435,,,20:55:16.271 -> 2305,,,20:56:14.493 -> 2314,,,20:59:09.052 -> 1021,,,21:00:15.487 -> 1061,,,21:01:08.577 -> 1063,,,21:02:48.955 -> 1077,,,21:03:59.174 -> 1038
,,,,,,,,20:30:04.182 -> 2688,,,20:35:06.023 -> 2555,,,20:37:02.781 -> 2577,,,20:46:19.040 -> 2445,,,20:55:16.271 -> 2315,,,20:56:14.493 -> 2324,,,20:59:09.052 -> 1025,,,21:00:15.487 -> 1066,,,21:01:08.577 -> 1068,,,21:02:48.955 -> 1082,,,21:03:59.174 -> 1042
,,,,,,,,20:30:04.182 -> 2699,,,20:35:06.023 -> 2566,,,20:37:02.781 -> 2588,,,20:46:19.040 -> 2455,,,20:55:16.319 -> 2324,,,20:56:14.493 -> 2334,,,20:59:09.052 -> 1029,,,21:00:15.535 -> 1070,,,21:01:08.577 -> 1072,,,21:02:48.955 -> 1086,,,21:03:59.174 -> 1047
,,,,,,,,20:30:04.230 -> 2709,,,20:35:06.023 -> 2578,,,20:37:02.781 -> 2599,,,20:46:19.040 -> 2465,,,20:55:16.319 -> 2334,,,20:56:14.537 -> 2343,,,20:59:09.052 -> 1033,,,21:00:15.535 -> 1075,,,21:01:08.577 -> 1077,,,21:02:48.955 -> 1091,,,21:03:59.227 -> 1051
,,,,,,,,20:30:04.230 -> 2720,,,20:35:06.023 -> 2588,,,20:37:02.781 -> 2610,,,20:46:19.040 -> 2475,,,20:55:16.319 -> 2344,,,20:56:14.537 -> 2353,,,20:59:09.096 -> 1037,,,21:00:15.535 -> 1079,,,21:01:08.577 -> 1081,,,21:02:48.955 -> 1095,,,21:03:59.227 -> 1055
,,,,,,,,20:30:04.230 -> 2731,,,20:35:06.072 -> 2599,,,20:37:02.824 -> 2620,,,20:46:19.084 -> 2485,,,20:55:16.319 -> 2354,,,20:56:14.537 -> 2363,,,20:59:09.096 -> 1041,,,21:00:15.535 -> 1083,,,21:01:08.625 -> 1086,,,21:02:49.003 -> 1100,,,21:03:59.227 -> 1059
,,,,,,,,20:30:04.230 -> 2741,,,20:35:06.072 -> 2610,,,20:37:02.824 -> 2631,,,20:46:19.084 -> 2495,,,20:55:16.319 -> 2363,,,20:56:14.537 -> 2373,,,20:59:09.096 -> 1045,,,21:00:15.535 -> 1088,,,21:01:08.625 -> 1091,,,21:02:49.003 -> 1104,,,21:03:59.227 -> 1063
,,,,,,,,20:30:04.230 -> 2752,,,20:35:06.072 -> 2620,,,20:37:02.824 -> 2642,,,20:46:19.084 -> 2506,,,20:55:16.367 -> 2374,,,20:56:14.581 -> 2383,,,20:59:09.096 -> 1049,,,21:00:15.583 -> 1092,,,21:01:08.625 -> 1095,,,21:02:49.003 -> 1109,,,21:03:59.227 -> 1068
,,,,,,,,20:30:04.278 -> 2763,,,20:35:06.072 -> 2631,,,20:37:02.824 -> 2653,,,20:46:19.084 -> 2516,,,20:55:16.367 -> 2384,,,20:56:14.581 -> 2393,,,20:59:09.144 -> 1053,,,21:00:15.583 -> 1096,,,21:01:08.625 -> 1100,,,21:02:49.003 -> 1113,,,21:03:59.271 -> 1072
,,,,,,,,20:30:04.278 -> 2773,,,20:35:06.072 -> 2642,,,20:37:02.869 -> 2664,,,20:46:19.084 -> 2526,,,20:55:16.367 -> 2394,,,20:56:14.581 -> 2403,,,20:59:09.144 -> 1057,,,21:00:15.583 -> 1101,,,21:01:08.625 -> 1104,,,21:02:49.003 -> 1117,,,21:03:59.271 -> 1076
,,,,,,,,20:30:04.278 -> 2784,,,20:35:06.116 -> 2652,,,20:37:02.869 -> 2675,,,20:46:19.129 -> 2536,,,20:55:16.367 -> 2403,,,20:56:14.581 -> 2412,,,20:59:09.144 -> 1061,,,21:00:15.583 -> 1105,,,21:01:08.670 -> 1109,,,21:02:49.052 -> 1122,,,21:03:59.271 -> 1080
,,,,,,,,20:30:04.278 -> 2795,,,20:35:06.116 -> 2663,,,20:37:02.869 -> 2686,,,20:46:19.129 -> 2547,,,20:55:16.367 -> 2413,,,20:56:14.581 -> 2422,,,20:59:09.144 -> 1066,,,21:00:15.583 -> 1110,,,21:01:08.670 -> 1113,,,21:02:49.052 -> 1126,,,21:03:59.271 -> 1084
,,,,,,,,20:30:04.322 -> 2805,,,20:35:06.116 -> 2674,,,20:37:02.869 -> 2697,,,20:46:19.129 -> 2557,,,20:55:16.415 -> 2423,,,20:56:14.629 -> 2431,,,20:59:09.144 -> 1070,,,21:00:15.631 -> 1114,,,21:01:08.670 -> 1118,,,21:02:49.052 -> 1131,,,21:03:59.305 -> 1088
,,,,,,,,20:30:04.322 -> 2816,,,20:35:06.116 -> 2684,,,20:37:02.917 -> 2708,,,20:46:19.129 -> 2567,,,20:55:16.415 -> 2433,,,20:56:14.629 -> 2441,,,20:59:09.188 -> 1074,,,21:00:15.631 -> 1118,,,21:01:08.670 -> 1122,,,21:02:49.052 -> 1135,,,21:03:59.305 -> 1092
,,,,,,,,20:30:04.322 -> 2826,,,20:35:06.159 -> 2695,,,20:37:02.917 -> 2719,,,20:46:19.172 -> 2578,,,20:55:16.415 -> 2444,,,20:56:14.629 -> 2451,,,20:59:09.188 -> 1078,,,21:00:15.631 -> 1123,,,21:01:08.718 -> 1127,,,21:02:49.052 -> 1140,,,21:03:59.305 -> 1096
,,,,,,,,20:30:04.322 -> 2837,,,20:35:06.159 -> 2705,,,20:37:02.917 -> 2730,,,20:46:19.172 -> 2588,,,20:55:16.415 -> 2453,,,20:56:14.629 -> 2460,,,20:59:09.188 -> 1082,,,21:00:15.631 -> 1127,,,21:01:08.718 -> 1131,,,21:02:49.097 -> 1144,,,21:03:59.305 -> 1101
,,,,,,,,20:30:04.322 -> 2848,,,20:35:06.159 -> 2716,,,20:37:02.917 -> 2740,,,20:46:19.172 -> 2598,,,20:55:16.415 -> 2463,,,20:56:14.629 -> 2470,,,20:59:09.188 -> 1086,,,21:00:15.631 -> 1132,,,21:01:08.718 -> 1136,,,21:02:49.097 -> 1148,,,21:03:59.345 -> 1105
,,,,,,,,20:30:04.366 -> 2858,,,20:35:06.159 -> 2728,,,20:37:02.917 -> 2751,,,20:46:19.172 -> 2609,,,20:55:16.463 -> 2473,,,20:56:14.673 -> 2479,,,20:59:09.232 -> 1090,,,21:00:15.676 -> 1136,,,21:01:08.718 -> 1141,,,21:02:49.097 -> 1153,,,21:03:59.345 -> 1109
,,,,,,,,20:30:04.366 -> 2869,,,20:35:06.159 -> 2738,,,20:37:02.961 -> 2762,,,20:46:19.172 -> 2619,,,20:55:16.463 -> 2484,,,20:56:14.673 -> 2489,,,20:59:09.232 -> 1095,,,21:00:15.676 -> 1141,,,21:01:08.718 -> 1145,,,21:02:49.097 -> 1157,,,21:03:59.345 -> 1113
,,,,,,,,20:30:04.366 -> 2880,,,20:35:06.203 -> 2749,,,20:37:02.961 -> 2773,,,20:46:19.217 -> 2629,,,20:55:16.463 -> 2494,,,20:56:14.673 -> 2499,,,20:59:09.232 -> 1099,,,21:00:15.676 -> 1145,,,21:01:08.770 -> 1149,,,21:02:49.097 -> 1162,,,21:03:59.345 -> 1117
,,,,,,,,20:30:04.366 -> 2890,,,20:35:06.203 -> 2759,,,20:37:02.961 -> 2784,,,20:46:19.217 -> 2640,,,20:55:16.463 -> 2503,,,20:56:14.673 -> 2509,,,20:59:09.232 -> 1103,,,21:00:15.676 -> 1149,,,21:01:08.770 -> 1154,,,21:02:49.143 -> 1166,,,21:03:59.394 -> 1122
,,,,,,,,20:30:04.410 -> 2901,,,20:35:06.203 -> 2770,,,20:37:02.961 -> 2795,,,20:46:19.217 -> 2650,,,20:55:16.463 -> 2513,,,20:56:14.717 -> 2518,,,20:59:09.232 -> 1107,,,21:00:15.720 -> 1154,,,21:01:08.770 -> 1158,,,21:02:49.143 -> 1170,,,21:03:59.394 -> 1126
,,,,,,,,20:30:04.410 -> 2912,,,20:35:06.203 -> 2781,,,20:37:02.961 -> 2806,,,20:46:19.217 -> 2660,,,20:55:16.512 -> 2523,,,20:56:14.717 -> 2528,,,20:59:09.277 -> 1111,,,21:00:15.720 -> 1158,,,21:01:08.770 -> 1163,,,21:02:49.143 -> 1175,,,21:03:59.394 -> 1130
,,,,,,,,20:30:04.410 -> 2922,,,20:35:06.239 -> 2791,,,20:37:03.009 -> 2817,,,20:46:19.261 -> 2671,,,20:55:16.512 -> 2533,,,20:56:14.717 -> 2538,,,20:59:09.277 -> 1115,,,21:00:15.720 -> 1163,,,21:01:08.770 -> 1168,,,21:02:49.143 -> 1180,,,21:03:59.394 -> 1134
,,,,,,,,20:30:04.410 -> 2933,,,20:35:06.239 -> 2802,,,20:37:03.009 -> 2828,,,20:46:19.261 -> 2681,,,20:55:16.512 -> 2542,,,20:56:14.717 -> 2548,,,20:59:09.277 -> 1119,,,21:00:15.720 -> 1167,,,21:01:08.811 -> 1172,,,21:02:49.191 -> 1184,,,21:03:59.394 -> 1139
,,,,,,,,20:30:04.410 -> 2944,,,20:35:06.239 -> 2812,,,20:37:03.009 -> 2839,,,20:46:19.261 -> 2691,,,20:55:16.512 -> 2552,,,20:56:14.761 -> 2557,,,20:59:09.277 -> 1123,,,21:00:15.720 -> 1171,,,21:01:08.811 -> 1177,,,21:02:49.191 -> 1188,,,21:03:59.438 -> 1143
,,,,,,,,20:30:04.455 -> 2954,,,20:35:06.239 -> 2823,,,20:37:03.009 -> 2849,,,20:46:19.261 -> 2701,,,20:55:16.561 -> 2561,,,20:56:14.761 -> 2567,,,20:59:09.310 -> 1128,,,21:00:15.764 -> 1176,,,21:01:08.811 -> 1182,,,21:02:49.191 -> 1193,,,21:03:59.438 -> 1147
,,,,,,,,20:30:04.455 -> 2965,,,20:35:06.288 -> 2834,,,20:37:03.009 -> 2860,,,20:46:19.261 -> 2711,,,20:55:16.561 -> 2571,,,20:56:14.761 -> 2577,,,20:59:09.310 -> 1132,,,21:00:15.764 -> 1180,,,21:01:08.811 -> 1186,,,21:02:49.191 -> 1197,,,21:03:59.438 -> 1151
,,,,,,,,20:30:04.455 -> 2976,,,20:35:06.288 -> 2844,,,20:37:03.054 -> 2871,,,20:46:19.305 -> 2722,,,20:55:16.561 -> 2582,,,20:56:14.761 -> 2587,,,20:59:09.310 -> 1136,,,21:00:15.764 -> 1184,,,21:01:08.855 -> 1191,,,21:02:49.191 -> 1202,,,21:03:59.438 -> 1155
,,,,,,,,20:30:04.455 -> 2986,,,20:35:06.288 -> 2855,,,20:37:03.054 -> 2882,,,20:46:19.305 -> 2732,,,20:55:16.561 -> 2592,,,20:56:14.761 -> 2597,,,20:59:09.310 -> 1140,,,21:00:15.764 -> 1189,,,21:01:08.855 -> 1195,,,21:02:49.239 -> 1206,,,21:03:59.486 -> 1159
,,,,,,,,20:30:04.503 -> 2997,,,20:35:06.288 -> 2866,,,20:37:03.054 -> 2893,,,20:46:19.305 -> 2742,,,20:55:16.561 -> 2601,,,20:56:14.810 -> 2606,,,20:59:09.354 -> 1144,,,21:00:15.812 -> 1193,,,21:01:08.855 -> 1200,,,21:02:49.239 -> 1211,,,21:03:59.486 -> 1164
,,,,,,,,20:30:04.503 -> 3007,,,20:35:06.288 -> 2877,,,20:37:03.054 -> 2904,,,20:46:19.305 -> 2753,,,20:55:16.609 -> 2611,,,20:56:14.810 -> 2616,,,20:59:09.354 -> 1148,,,21:00:15.812 -> 1197,,,21:01:08.855 -> 1204,,,21:02:49.239 -> 1216,,,21:03:59.486 -> 1168
,,,,,,,,20:30:04.503 -> 3018,,,20:35:06.332 -> 2887,,,20:37:03.098 -> 2915,,,20:46:19.349 -> 2763,,,20:55:16.609 -> 2620,,,20:56:14.810 -> 2626,,,20:59:09.354 -> 1152,,,21:00:15.812 -> 1202,,,21:01:08.855 -> 1209,,,21:02:49.239 -> 1220,,,21:03:59.486 -> 1172
,,,,,,,,20:30:04.503 -> 3029,,,20:35:06.332 -> 2898,,,20:37:03.098 -> 2926,,,20:46:19.349 -> 2773,,,20:55:16.609 -> 2630,,,20:56:14.810 -> 2635,,,20:59:09.354 -> 1156,,,21:00:15.812 -> 1206,,,21:01:08.899 -> 1214,,,21:02:49.239 -> 1224,,,21:03:59.486 -> 1176
,,,,,,,,20:30:04.503 -> 3039,,,20:35:06.332 -> 2908,,,20:37:03.098 -> 2937,,,20:46:19.349 -> 2784,,,20:55:16.609 -> 2640,,,20:56:14.810 -> 2645,,,20:59:09.402 -> 1160,,,21:00:15.812 -> 1211,,,21:01:08.899 -> 1218,,,21:02:49.287 -> 1229,,,21:03:59.530 -> 1181
,,,,,,,,20:30:04.548 -> 3050,,,20:35:06.332 -> 2919,,,20:37:03.098 -> 2947,,,20:46:19.349 -> 2794,,,20:55:16.609 -> 2650,,,20:56:14.855 -> 2655,,,20:59:09.402 -> 1165,,,21:00:15.861 -> 1215,,,21:01:08.899 -> 1223,,,21:02:49.287 -> 1233,,,21:03:59.530 -> 1185
,,,,,,,,20:30:04.548 -> 3061,,,20:35:06.380 -> 2930,,,20:37:03.146 -> 2958,,,20:46:19.349 -> 2804,,,20:55:16.653 -> 2660,,,20:56:14.855 -> 2665,,,20:59:09.402 -> 1169,,,21:00:15.861 -> 1219,,,21:01:08.899 -> 1228,,,21:02:49.287 -> 1238,,,21:03:59.530 -> 1189
,,,,,,,,20:30:04.548 -> 3071,,,20:35:06.380 -> 2941,,,20:37:03.146 -> 2969,,,20:46:19.393 -> 2815,,,20:55:16.653 -> 2670,,,20:56:14.855 -> 2675,,,20:59:09.402 -> 1173,,,21:00:15.861 -> 1224,,,21:01:08.943 -> 1232,,,21:02:49.287 -> 1242,,,21:03:59.530 -> 1193
,,,,,,,,20:30:04.548 -> 3082,,,20:35:06.380 -> 2953,,,20:37:03.146 -> 2980,,,20:46:19.393 -> 2825,,,20:55:16.653 -> 2680,,,20:56:14.855 -> 2684,,,20:59:09.402 -> 1177,,,21:00:15.861 -> 1228,,,21:01:08.943 -> 1237,,,21:02:49.287 -> 1246,,,21:03:59.574 -> 1197
,,,,,,,,20:30:04.592 -> 3093,,,20:35:06.380 -> 2963,,,20:37:03.146 -> 2991,,,20:46:19.393 -> 2835,,,20:55:16.653 -> 2689,,,20:56:14.903 -> 2694,,,20:59:09.446 -> 1181,,,21:00:15.861 -> 1233,,,21:01:08.943 -> 1241,,,21:02:49.335 -> 1251,,,21:03:59.574 -> 1202
,,,,,,,,20:30:04.592 -> 3103,,,20:35:06.380 -> 2974,,,20:37:03.146 -> 3002,,,20:46:19.393 -> 2846,,,20:55:16.701 -> 2699,,,20:56:14.903 -> 2704,,,20:59:09.446 -> 1185,,,21:00:15.906 -> 1237,,,21:01:08.943 -> 1246,,,21:02:49.335 -> 1255,,,21:03:59.574 -> 1206
,,,,,,,,20:30:04.592 -> 3114,,,20:35:06.428 -> 2984,,,20:37:03.194 -> 3013,,,20:46:19.437 -> 2856,,,20:55:16.701 -> 2709,,,20:56:14.903 -> 2713,,,20:59:09.446 -> 1189,,,21:00:15.906 -> 1242,,,21:01:08.943 -> 1250,,,21:02:49.335 -> 1260,,,21:03:59.574 -> 1210
,,,,,,,,20:30:04.592 -> 3125,,,20:35:06.428 -> 2995,,,20:37:03.194 -> 3024,,,20:46:19.437 -> 2866,,,20:55:16.701 -> 2719,,,20:56:14.903 -> 2723,,,20:59:09.446 -> 1194,,,21:00:15.906 -> 1246,,,21:01:08.991 -> 1255,,,21:02:49.335 -> 1264,,,21:03:59.574 -> 1214
,,,,,,,,20:30:04.592 -> 3135,,,20:35:06.428 -> 3006,,,20:37:03.194 -> 3034,,,20:46:19.437 -> 2877,,,20:55:16.701 -> 2728,,,20:56:14.903 -> 2733,,,20:59:09.495 -> 1198,,,21:00:15.906 -> 1250,,,21:01:08.991 -> 1259,,,21:02:49.379 -> 1268,,,21:03:59.615 -> 1218
,,,,,,,,20:30:04.636 -> 3146,,,20:35:06.428 -> 3017,,,20:37:03.194 -> 3045,,,20:46:19.437 -> 2887,,,20:55:16.701 -> 2738,,,20:56:14.947 -> 2743,,,20:59:09.495 -> 1202,,,21:00:15.949 -> 1255,,,21:01:08.991 -> 1264,,,21:02:49.379 -> 1273,,,21:03:59.615 -> 1222
,,,,,,,,20:30:04.636 -> 3157,,,20:35:06.428 -> 3027,,,20:37:03.194 -> 3056,,,20:46:19.485 -> 2898,,,20:55:16.746 -> 2748,,,20:56:14.947 -> 2752,,,20:59:09.495 -> 1206,,,21:00:15.949 -> 1259,,,21:01:08.991 -> 1269,,,21:02:49.379 -> 1277,,,21:03:59.615 -> 1226
,,,,,,,,20:30:04.636 -> 3167,,,20:35:06.476 -> 3039,,,20:37:03.238 -> 3067,,,20:46:19.485 -> 2908,,,20:55:16.746 -> 2758,,,20:56:14.947 -> 2762,,,20:59:09.495 -> 1210,,,21:00:15.949 -> 1264,,,21:01:08.991 -> 1273,,,21:02:49.379 -> 1282,,,21:03:59.615 -> 1231
,,,,,,,,20:30:04.636 -> 3178,,,20:35:06.476 -> 3051,,,20:37:03.238 -> 3078,,,20:46:19.485 -> 2918,,,20:55:16.746 -> 2768,,,20:56:14.947 -> 2772,,,20:59:09.495 -> 1214,,,21:00:15.949 -> 1268,,,21:01:09.039 -> 1278,,,21:02:49.379 -> 1286,,,21:03:59.664 -> 1235
,,,,,,,,20:30:04.684 -> 3189,,,20:35:06.476 -> 3061,,,20:37:03.238 -> 3090,,,20:46:19.485 -> 2928,,,20:55:16.746 -> 2777,,,20:56:14.995 -> 2782,,,20:59:09.538 -> 1218,,,21:00:15.949 -> 1272,,,21:01:09.039 -> 1282,,,21:02:49.427 -> 1291,,,21:03:59.664 -> 1239
,,,,,,,,20:30:04.684 -> 3199,,,20:35:06.476 -> 3072,,,20:37:03.238 -> 3101,,,20:46:19.485 -> 2938,,,20:55:16.746 -> 2787,,,20:56:14.995 -> 2791,,,20:59:09.538 -> 1222,,,21:00:15.994 -> 1277,,,21:01:09.039 -> 1287,,,21:02:49.427 -> 1295,,,21:03:59.664 -> 1243
,,,,,,,,20:30:04.684 -> 3209,,,20:35:06.520 -> 3082,,,20:37:03.287 -> 3111,,,20:46:19.529 -> 2949,,,20:55:16.795 -> 2797,,,20:56:14.995 -> 2801,,,20:59:09.538 -> 1226,,,21:00:15.994 -> 1281,,,21:01:09.039 -> 1292,,,21:02:49.427 -> 1299,,,21:03:59.664 -> 1248
,,,,,,,,20:30:04.684 -> 3219,,,20:35:06.520 -> 3093,,,20:37:03.287 -> 3122,,,20:46:19.529 -> 2959,,,20:55:16.795 -> 2808,,,20:56:14.995 -> 2811,,,20:59:09.538 -> 1230,,,21:00:15.994 -> 1285,,,21:01:09.087 -> 1296,,,21:02:49.427 -> 1304,,,21:03:59.664 -> 1252
,,,,,,,,20:30:04.684 -> 3229,,,20:35:06.520 -> 3104,,,20:37:03.287 -> 3133,,,20:46:19.529 -> 2969,,,20:55:16.795 -> 2818,,,20:56:14.995 -> 2821,,,20:59:09.538 -> 1234,,,21:00:15.994 -> 1290,,,21:01:09.087 -> 1301,,,21:02:49.427 -> 1308,,,21:03:59.712 -> 1256
,,,,,,,,20:30:04.728 -> 3238,,,20:35:06.520 -> 3114,,,20:37:03.287 -> 3144,,,20:46:19.529 -> 2980,,,20:55:16.795 -> 2828,,,20:56:15.039 -> 2831,,,20:59:09.587 -> 1238,,,21:00:16.038 -> 1294,,,21:01:09.087 -> 1306,,,21:02:49.475 -> 1313,,,21:03:59.712 -> 1260
,,,,,,,,20:30:04.728 -> 3247,,,20:35:06.520 -> 3125,,,20:37:03.287 -> 3155,,,20:46:19.529 -> 2991,,,20:55:16.795 -> 2837,,,20:56:15.039 -> 2841,,,20:59:09.587 -> 1242,,,21:00:16.038 -> 1298,,,21:01:09.087 -> 1310,,,21:02:49.475 -> 1317,,,21:03:59.712 -> 1264
,,,,,,,,20:30:04.728 -> 3256,,,20:35:06.568 -> 3135,,,20:37:03.331 -> 3166,,,20:46:19.573 -> 3001,,,20:55:16.843 -> 2847,,,20:56:15.039 -> 2850,,,20:59:09.587 -> 1247,,,21:00:16.038 -> 1303,,,21:01:09.087 -> 1315,,,21:02:49.475 -> 1322,,,21:03:59.712 -> 1268
,,,,,,,,20:30:04.728 -> 3265,,,20:35:06.568 -> 3146,,,20:37:03.331 -> 3177,,,20:46:19.573 -> 3011,,,20:55:16.843 -> 2857,,,20:56:15.039 -> 2860,,,20:59:09.587 -> 1251,,,21:00:16.038 -> 1307,,,21:01:09.131 -> 1320,,,21:02:49.475 -> 1326,,,21:03:59.712 -> 1273
,,,,,,,,20:30:04.728 -> 3273,,,20:35:06.568 -> 3156,,,20:37:03.331 -> 3187,,,20:46:19.573 -> 3022,,,20:55:16.843 -> 2866,,,20:56:15.039 -> 2870,,,20:59:09.587 -> 1255,,,21:00:16.038 -> 1311,,,21:01:09.131 -> 1324,,,21:02:49.475 -> 1331,,,21:03:59.757 -> 1277
,,,,,,,,20:30:04.776 -> 3281,,,20:35:06.568 -> 3167,,,20:37:03.331 -> 3198,,,20:46:19.573 -> 3032,,,20:55:16.843 -> 2876,,,20:56:15.084 -> 2879,,,20:59:09.635 -> 1259,,,21:00:16.083 -> 1316,,,21:01:09.131 -> 1329,,,21:02:49.519 -> 1335,,,21:03:59.757 -> 1281
,,,,,,,,20:30:04.776 -> 3289,,,20:35:06.568 -> 3177,,,20:37:03.331 -> 3209,,,20:46:19.617 -> 3042,,,20:55:16.843 -> 2885,,,20:56:15.084 -> 2888,,,20:59:09.635 -> 1262,,,21:00:16.083 -> 1320,,,21:01:09.131 -> 1334,,,21:02:49.519 -> 1339,,,21:03:59.757 -> 1285
,,,,,,,,20:30:04.776 -> 3297,,,20:35:06.616 -> 3188,,,20:37:03.378 -> 3219,,,20:46:19.617 -> 3052,,,20:55:16.891 -> 2895,,,20:56:15.084 -> 2897,,,20:59:09.635 -> 1266,,,21:00:16.083 -> 1323,,,21:01:09.131 -> 1338,,,21:02:49.519 -> 1344,,,21:03:59.757 -> 1288
