PWM Percentage ,Voltage ,,PWM  percentage, Encoder Value ,Speed  M/S,,,Without Load 60 percent PWM,,,Without Load 60 PWM,,,Without Load 60 PWM,,,Withload 60 PWM,,,With Load 60 PWM ,,,With Load PWM 60,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM 
96,6.98,,52,801,0.488,,,20:30:02.356 -> 467,,,20:35:04.075 -> 454,,,20:37:00.814 -> 457,,,20:46:17.074 -> 402,,,20:55:14.368 -> 397,,,20:56:12.585 -> 402,,,20:59:07.114 -> 187,,,21:00:13.582 -> 197,,,21:01:06.630 -> 186,,,21:02:47.006 -> 192,,,21:03:57.253 -> 185
98,7.14,,51,786,0.479,,,20:30:02.356 -> 479,,,20:35:04.075 -> 465,,,20:37:00.859 -> 468,,,20:46:17.074 -> 412,,,20:55:14.368 -> 407,,,20:56:12.585 -> 412,,,20:59:07.114 -> 191,,,21:00:13.582 -> 202,,,21:01:06.630 -> 190,,,21:02:47.006 -> 197,,,21:03:57.253 -> 190
100,7.33,,50,765,0.466,,,20:30:02.356 -> 489,,,20:35:04.075 -> 477,,,20:37:00.859 -> 479,,,20:46:17.119 -> 423,,,20:55:14.368 -> 417,,,20:56:12.585 -> 422,,,20:59:07.114 -> 195,,,21:00:13.582 -> 207,,,21:01:06.630 -> 194,,,21:02:47.006 -> 201,,,21:03:57.253 -> 194
,,,49,741,0.452,,,20:30:02.356 -> 500,,,20:35:04.123 -> 487,,,20:37:00.859 -> 489,,,20:46:17.119 -> 433,,,20:55:14.368 -> 426,,,20:56:12.585 -> 431,,,20:59:07.162 -> 200,,,21:00:13.582 -> 211,,,21:01:06.674 -> 198,,,21:02:47.054 -> 206,,,21:03:57.302 -> 199
,,,48,738,0.45,,,20:30:02.356 -> 511,,,20:35:04.123 -> 498,,,20:37:00.859 -> 500,,,20:46:17.119 -> 443,,,20:55:14.368 -> 436,,,20:56:12.585 -> 441,,,20:59:07.162 -> 204,,,21:00:13.582 -> 216,,,21:01:06.674 -> 203,,,21:02:47.054 -> 211,,,21:03:57.302 -> 203
,,,47,710,0.433,,,20:30:02.356 -> 522,,,20:35:04.123 -> 509,,,20:37:00.903 -> 511,,,20:46:17.119 -> 454,,,20:55:14.416 -> 446,,,20:56:12.629 -> 451,,,20:59:07.162 -> 208,,,21:00:13.630 -> 221,,,21:01:06.674 -> 208,,,21:02:47.054 -> 215,,,21:03:57.302 -> 208
,,,46,696,0.424,,,20:30:02.356 -> 533,,,20:35:04.123 -> 519,,,20:37:00.903 -> 522,,,20:46:17.168 -> 464,,,20:55:14.416 -> 456,,,20:56:12.629 -> 461,,,20:59:07.162 -> 213,,,21:00:13.630 -> 225,,,21:01:06.674 -> 212,,,21:02:47.054 -> 220,,,21:03:57.302 -> 212
,,,45,677,0.413,,,20:30:02.356 -> 545,,,20:35:04.123 -> 530,,,20:37:00.903 -> 533,,,20:46:17.168 -> 475,,,20:55:14.416 -> 466,,,20:56:12.629 -> 471,,,20:59:07.162 -> 217,,,21:00:13.630 -> 230,,,21:01:06.674 -> 217,,,21:02:47.054 -> 225,,,21:03:57.302 -> 217
,,,44,664,0.405,,,20:30:02.356 -> 555,,,20:35:04.167 -> 541,,,20:37:00.903 -> 543,,,20:46:17.168 -> 485,,,20:55:14.416 -> 476,,,20:56:12.629 -> 480,,,20:59:07.206 -> 222,,,21:00:13.630 -> 235,,,21:01:06.722 -> 221,,,21:02:47.099 -> 229,,,21:03:57.350 -> 221
,,,43,646,0.394,,,20:30:02.356 -> 567,,,20:35:04.167 -> 551,,,20:37:00.903 -> 554,,,20:46:17.168 -> 495,,,20:55:14.416 -> 486,,,20:56:12.677 -> 490,,,20:59:07.206 -> 226,,,21:00:13.630 -> 239,,,21:01:06.722 -> 226,,,21:02:47.099 -> 234,,,21:03:57.350 -> 226
